name,amenity,historic,name:en,WKT
Манастир Св. Андреј,place_of_worship,monument,Monastery St. Andrej,POINT (21.2991931 41.9505936)
Св. Атанас,place_of_worship,,,POINT (21.2983618 42.0598924)
Црква Света Петка,place_of_worship,,Saint Petka Church,POINT (20.7415162 40.9131005)
Св. Илија,place_of_worship,,,POINT (21.2958493 42.0604971)
Св. Георгиј,place_of_worship,wayside_shrine,St. George,POINT (21.3208996 41.0108476)
Св. Петка,place_of_worship,wayside_shrine,St. Parascheva,POINT (21.6070578 41.3643261)
Црква Свете Недеље,place_of_worship,,St. Nedelja Church,POINT (20.7434407 42.2094939)
Св. Троица,place_of_worship,,St. Trinity,POINT (21.3415263 41.006774)
Манастир Светих Архангела,place_of_worship,,Monastery of the Holy Archangels,POINT (20.7635145 42.2005793)
Црква Успења Пресвете Богородице,place_of_worship,,,POINT (20.8935679 42.2903775)
Манастир Кориша,place_of_worship,,,POINT (20.7997418 42.2511101)
Св. Благовештение,place_of_worship,wayside_shrine,,POINT (20.8033957 41.05924)
