name,type,name:en,WKT
Филип II Македонски,memorial,Philip II of Macedon,POINT (21.4349949 41.9984602)
Св. Климент Охридски,memorial,Clement of Ohrid,POINT (21.4254968 41.9983057)
Битката на Ѓурѓејца,memorial,Battle of Gjurgjejca,POINT (20.9658462 41.4528994)
Ножот,memorial,The Knife,POINT (21.7629669 41.4293251)
Стефан Наумов-Стив,memorial,Stefan Naumov-Stiv,POINT (21.3368929 41.024615)
Масакр кај Пуста Кула,memorial,Pusta Kula Massacre,POINT (21.7360635 41.822914)
Св. Кирил и Методиј,memorial,Saints Cyril and Methodius,POINT (21.4339766 41.9977079)
Св. Климент Охридски и Наум Охридски Чудотворец,memorial,Saints Clement of Ohrid and Naum,POINT (21.4341509 41.9975624)
Цар Самоил,memorial,Tsar Samuel,POINT (21.4313414 41.9953917)
Даме Груев,memorial,Dame Gruev,POINT (21.4321474 41.9964949)
Јустинијан I,memorial,Justinian I,POINT (21.4323054 41.9968799)
Олимпија,memorial,Olympias,POINT (21.4344182 41.9979046)
Борка Талески-Модерното / Лазо Филиповски-Лавски,memorial,Borka Taleski / Lazo Filipovski,POINT (21.6749495 41.3661079)
Свети Наум,memorial,St. Naum,POINT (20.7412554 40.9142149)
Ботун,memorial,Botun,POINT (20.7836677 41.2788101)
Партизански паметник,memorial,Partisan Monument,POINT (22.975027 41.9975082)
Теракота,memorial,Teracotta,POINT (22.5039935 41.8845661)
Никола Кукунешоски - Дунѓерски,memorial,Nikola Kukuneshoski - Dungjerski,POINT (20.6778868 41.1745272)
Крсте Јовановски,memorial,Krste Jovanovski,POINT (20.6779485 41.1747311)
Димче Кошаркоски,memorial,Dimche Kosharkoski,POINT (20.6779833 41.1749451)
Боро Шаин,memorial,Boro Shain,POINT (20.6782194 41.1756537)
Јово Стефановски - Риле,memorial,Jovo Stefanovski - Rile,POINT (20.6781791 41.1755185)
Разме Малески,memorial,Razme Maleski,POINT (20.6781416 41.1753893)
Петре Гончески - Гиле,memorial,Petre Goncheski - Gile,POINT (20.6781067 41.1752843)
Гоце Делчев,memorial,Goce Delchev,POINT (21.4323793 41.9963577)
Спомен плоча на Мајка Тереза,memorial,Mother Teresa Old House Place,POINT (21.4319995 41.9952759)
Ард ден Долард,memorial,Aard den Dolaard,POINT (20.8078335 41.1057278)
Методија Андонов - Ченто,memorial,Metodija Andonov - Chento,POINT (21.4306041 41.9957136)
Споменик на Малешевскиот (Малешки) народноослободителен одред,memorial,Monument of the People's Liberation Detachment of Maleshevo,POINT (22.6569551 41.7213441)
Коста Абраш,memorial,Kosta Abrash,POINT (20.795694 41.1120953)
Дабнички масакр,memorial,Masacre of Dabnica,POINT (21.5605466 41.3724643)
Ацо Ангеловски,memorial,Aco Angelovski,POINT (21.5476216 42.022416)
Кирил Петрушевски,memorial,Kiril Petrushevski,POINT (21.5480468 42.0225556)
Ерол Готак,memorial,Erol Gotak,POINT (21.5486015 42.0227044)
Нане Наумоски,memorial,Nane Naumoski,POINT (21.1660504 41.9764851)
Сашо Китаноски,memorial,Sasho Kitanoski,POINT (21.1773385 41.977847)
Бранко Секулоски,memorial,Branko Sekuloski,POINT (21.1679024 41.97753)
Горан Миноски,memorial,Goran Minoski,POINT (21.1745241 41.9781971)
Марко Деспотоски,memorial,Marko Despotoski,POINT (21.1713626 41.977893)
Ердован Шабаноски,memorial,Erdovan Shabanoski,POINT (21.1675604 41.9767167)
Љубе Грујоски,memorial,Ljube Grujoski,POINT (21.1694976 41.9772958)
Дарко Велјаноски,memorial,Darko Veljanoski,POINT (21.1717935 41.9770406)
Веби Рушитоски,memorial,Vebi Rushitoski,POINT (21.1747438 41.9767893)
Пеце Секулоски,memorial,Pece Sekuloski,POINT (21.1770879 41.977042)
Карпалак,memorial,Karpalak,POINT (21.6256855 41.3575814)
Масакр во Ваташа,memorial,Vatasha Massacre,POINT (22.0284286 41.4014262)
Св. Илија,memorial,St. Ilija,POINT (21.9386585 41.8627557)
Кире Гаврилоски-Јане / Круме Волнароски-Коља,memorial,Kire Gavriloski-Jane / Krume Volnaroski-Kolja,POINT (21.5629735 41.3464944)
Александар Македонски,memorial,Alexander The Great,POINT (21.5572532 41.3421058)
Мирослав Јоксимовиќ,memorial,Miroslav Joksimovikj,POINT (21.2464617 41.3761727)
Генерал Михајло Апостолски,memorial,General Mihajlo Apostolski,POINT (21.4506665 41.9988251)
Невена Георгиева-Дуња,memorial,Nevena Georgieva - Dunja,POINT (21.4332709 41.993726)
Нада Филева,memorial,Nada Fileva,POINT (20.798276 41.1141534)
Атентат на Киро Глигоров,memorial,Atentat of Kiro Gligorov,POINT (21.4296159 41.9918182)
Јаким Д. Стојковски,memorial,Jakim D. Stojkovski,POINT (22.1778987 42.0001506)
Нико Нестор-Џивџан,memorial,Niko Nestor-Dzhivdzhdan,POINT (20.6778798 41.1757975)
Споменик „Солунски атентатори и Гемиџии“,memorial,Solun Assassins and Gemidzhii,POINT (21.4328484 41.9964125)
