name,type,name:en,WKT
Паметник на Цар Самуил,monument,Tsar Samuil,POINT (23.0302482 41.3948861)
Питу Гули,monument,Pitu Guli,POINT (21.433319 41.9936737)
Гоце Делчев,monument,Goce Delchev,POINT (21.4233737 42.0032812)
Костурница,monument,Kosturnica,POINT (22.0228463 41.4325212)
Мечкин Камен,monument,Mechkin Kamen,POINT (21.257898 41.3377228)
Слива,monument,Sliva,POINT (21.2273776 41.3880768)
Споменик на слободата,monument,Monument of Freedom,POINT (22.4069917 41.9188903)
Споменик на Револуцијата,monument,Monument of the Revolution,POINT (20.679835 41.1776616)
Манастир Св. Андреј,monument,Monastery St. Andrej,POINT (21.2991931 41.9505936)
Споменик на Александар Македонски,monument,Statue of Alexander the Great,POINT (21.4314474 41.9959035)
Филип Втори,monument,Phillip II,POINT (21.4617772 42.0017233)
Св. Архангел Михаил,monument,St. Archangel Mihail,POINT (20.6324791 41.1068913)
Куде сат,monument,Kude sat,POINT (21.7192303 42.1346962)
Народен Херој Кузман Јосифоски-Питу,monument,People's hero Kuzman Josifoski-Pitu,POINT (21.5519842 41.3451182)
Пеце Атанасоски,monument,Pece Atanasoski,POINT (21.554267 41.3451518)
Ѓорче Петров,monument,Gjorche Petrov,POINT (21.5522173 41.3452617)
Никола Карев,monument,Nikola Karev,POINT (21.2463296 41.3736665)
Споменик на Питу Гули,monument,Statue of Pitu Guli,POINT (21.2497316 41.3649692)
Наум Наумоски-Борче,monument,Naum Naumoski-Borche,POINT (21.2484409 41.3653856)
Два Коња,monument,Two Horses,POINT (22.5001795 41.1458586)
Преспанско Советување,monument,Prespansko Sovetuvanje,POINT (20.9119981 40.9765203)
Карпалак,monument,Karpalak,POINT (21.5564074 41.3475544)
Свети Климент Охридски,monument,Monument St. Clement Ohridski,POINT (20.7995376 41.1126936)
Свети Кирил и Методиј,monument,Monuments of Saints Cyril and Methodius,POINT (20.799994 41.1120476)
Свети Наум Охридски Чудотворец,monument,Monument to St. Naum of Ohrid,POINT (20.7990226 41.1122955)
Христо Узунов,monument,Hristo Uzunov,POINT (21.0770931 41.4182291)
Споменик на жртви од НОВ,monument,Monument to the victims of the People's Liberation War,POINT (20.9636151 41.9062629)
Александар Македонски,monument,Alexander The Great,POINT (21.5524989 41.3460556)
Методија Андонов-Ченто,monument,Metodija Andonov-Chento,POINT (21.5528281 41.3462544)
Св. Никола,monument,St. Nikola,POINT (21.553243 41.3462194)
Крипта,monument,Crypt,POINT (21.554646 41.3341123)
Итар Пејо,monument,Sly Peter,POINT (21.5548417 41.345456)
Гоце Делчев (Биста),monument,Goce Delchev (bust),POINT (22.7768724 41.9668611)
Гоце Делчев,monument,Goce Delchev,POINT (22.7742882 41.9643843)
Споменик на паднати борци во НОБ,monument,Monument to the fallen fighters of the People's Liberation War,POINT (22.7716387 41.9653801)
Кула,monument,Tower,POINT (22.7954411 41.9425359)
Леонид Јанков,monument,Leonid Jankov,POINT (22.5093733 41.139367)
Прометеј,monument,Prometheus,POINT (21.4337226 41.993303)
Тодор Александров,Todor Aleksandrov,,POINT (21.439106 41.9834333)
Стара Рампа,monument,Old Barrier,POINT (21.4369668 41.986749)
Бегова кула,monument,Bey's Tower,POINT (21.4317487 41.9936684)
Гоце Делчев,monument,Goce Delchev,POINT (22.7549207 41.4166941)
Споменик на загинатите евреи,monument,Monument to the fallen Jews,POINT (22.1903758 41.736405)
Мустафа-пашина џамија,monument,Murat Pasha Mosque,POINT (21.4375046 42.000853)
Споменик на Јуриј Гагарин,monument,Yuri Gagarin Monument,POINT (21.4108745 41.9949279)
Никола Карев,monument,Nikola Karev,POINT (21.4332009 41.9930188)
Вера Јоциќ,monument,Vera Jocik,POINT (21.4283664 42.0016804)
Марко Мрњавчевиќ,monument,Marko Mrnjavchevikj,POINT (21.5532375 41.3455416)
Круме Кепески,monument,Krume Kepeski,POINT (21.5505634 41.3450704)
Блаже Конески,monument,Blazhe Koneski,POINT (21.5506707 41.3451329)
Марко Цепенков,monument,Marko Cepenkov,POINT (21.5505581 41.3451792)
Паметник на убити от бандата на Георги Михов Димитров (ГЕМЕТО).,monument,monument,POINT (22.6210684 42.1876409)
Споменик на слободата,monument,Monument of freedom,POINT (22.5006786 41.158263)
Борецот,monument,The Fighter,POINT (21.5025867 41.3738524)
Сергеј Есенин,monument,Sergey Esenin,POINT (20.6783749 41.1736526)
Емин-бегова кула,monument,Emin Bey Tower,POINT (22.1823517 42.0769461)
Крстева кула,monument,Krste's Tower,POINT (22.1826261 42.0768838)
Споменик „Солунски фронт“ од I светска војна,monument,World War I Salonica Front memorial,POINT (22.6878453 41.1949939)
Хаџикостова кула,monument,Hadji Kostov Tower,POINT (22.1822635 42.0768628)
Саат-кула,monument,Clock Tower,POINT (22.1818109 42.0792053)
Златковичева кула,monument,Zlatkovich Tower,POINT (22.1809805 42.0788289)
Симиќева кула,monument,Simikj Tower,POINT (22.1794714 42.0786957)
Љубе Грујоски,monument,Ljube Grujoski,POINT (21.3684104 41.2754595)
Споменик на Дојрана,monument,Dojrana Monument,POINT (22.7227512 41.1857198)
Чешма Света Петка,monument,Faucet St. Petka,POINT (22.7233826 41.1825947)
Струма невеста,monument,Struma Nevesta,POINT (22.8537781 42.2555372)
Толе Паша,monument,Tole Pasha,POINT (21.6536957 41.2064953)
Гоце Делчев,monument,Goce Delchev,POINT (20.9229426 41.4831122)
Христо Узунов,monument,Hristo Uzunov,POINT (20.9222623 41.483575)
Споменик Св. Никола,monument,Monument of St. Nicholas,POINT (21.942062 41.8646892)
Споменик „Лазар Колишевски“,monument,Lazar Kolishevski,POINT (21.9410121 41.8644645)
Споменик на Никола Карев,monument,Monument to Nikola Karev,POINT (22.412778 41.9156602)
Кица Петрески,monument,Kica Petreski,POINT (21.2488407 41.3653786)
Ослободителите на Скопје,monument,Monument to the Liberators of Skopje,POINT (21.4292436 41.9998632)
Вејце,monument,Vejtse,POINT (20.9185104 42.0673767)
Генерал Михаило Апостолски,monument,Mihailo Apostolski,POINT (21.4485415 41.9998618)
Фаќач на чесниот крст,monument,The Catcher of the Holy Cross,POINT (20.799333 41.1119818)
Павел Шатев,monument,Pavel Šatev,POINT (21.4326511 41.9945304)
Ѓоко Лазаревски,monument,Gjoko Lazarevski,POINT (21.0288552 42.0640097)
Браќата Просветители Св. Кирил и Методиј,monument,Ss. Cyril and Methodius,POINT (22.4105061 41.9135927)
Љупчо Сантов,monument,Ljupcho Santov,POINT (22.410612 41.9143473)
