name,tourism,historic,name:en,WKT
Библиотека Феткин,artwork,,Fetkin Library,POINT (22.0124363 41.4340077)
Лихнид,artwork,archaeological_site,,POINT (20.7914836 41.1155576)
Влез на Скопското кале,artwork,archaeological_site,Skopje Fortress Gate,POINT (21.4338778 42.0008716)
Паметник на Цар Самуил,artwork,monument,,POINT (23.0302482 41.3948861)
Питу Гули,artwork,monument,,POINT (21.433319 41.9936737)
Гоце Делчев,artwork,monument,,POINT (21.4233737 42.0032812)
Костурница,artwork,monument,Kosturnica,POINT (22.0228463 41.4325212)
Мечкин Камен,artwork,monument,Mechkin Kamen,POINT (21.257898 41.3377228)
Слива,artwork,monument,,POINT (21.2273776 41.3880768)
Споменик на слободата,artwork,monument,Monument of Freedom,POINT (22.4069917 41.9188903)
Споменик на Револуцијата,artwork,monument,Monument of the Revolution,POINT (20.679835 41.1776616)
Тетовско Кале,artwork,ruins,Tetovo Fortress,POINT (20.960153 42.0195738)
Музеј на град Берово,artwork,,Berovo Town Museum,POINT (22.8566138 41.7077548)
