name,tourism,name:en,WKT
Музеј Галерија Кавадарци,museum,Muzej Galerija Kavadarci,POINT (22.0163228 41.4343634)
Куќа на Робевци,museum,Robev Family House,POINT (20.7961416 41.112361)
Музеј на Дојран,museum,Dojran Museum,POINT (22.7221034 41.1871817)
Природонаучен Музеј,museum,Macedonian Museum of Natural History,POINT (21.4174425 42.005709)
Куршумли-ан,museum,Kurshumli-an,"POLYGON ((21.4367598 42.0032939, 21.4367753 42.0030971, 21.4367896 42.0029156, 21.4373291 42.002939, 21.4372994 42.0033173, 21.4367598 42.0032939), (21.4369104 42.0032027, 21.4371756 42.0032151, 21.437191 42.0030331, 21.4369259 42.0030207, 21.4369104 42.0032027))"
Музеј на современата уметност,museum,Contemporary Art Museum of Macedonia,"POLYGON ((21.4325172 42.0043142, 21.4325666 42.0041671, 21.4327569 42.0042024, 21.4327984 42.004079, 21.4326104 42.0040442, 21.43275 42.0036285, 21.4332925 42.0037291, 21.4331584 42.0041283, 21.4330514 42.0041084, 21.4330097 42.0042325, 21.4331234 42.0042536, 21.4330687 42.0044165, 21.4325172 42.0043142))"
Национална галерија „Даут-пашин амам“,museum,Daut Pasha Hamam National Gallery,"POLYGON ((21.4355586 41.998911, 21.4354288 41.9986787, 21.4358887 41.9985368, 21.4360185 41.9987691, 21.4355586 41.998911))"
Музеј на Македонија,museum,Museum of Macedonia,"POLYGON ((21.4363088 42.003194, 21.4360166 42.0031811, 21.4360182 42.0031614, 21.4359983 42.0031606, 21.4359201 42.0032112, 21.4357426 42.00306, 21.4358156 42.0030127, 21.435522 42.0027625, 21.4356538 42.0026771, 21.4355387 42.002579, 21.4357527 42.0024403, 21.4356769 42.0023757, 21.4360651 42.002124, 21.4361962 42.0022357, 21.4362774 42.0021831, 21.4363905 42.0022794, 21.4365227 42.0021937, 21.4366458 42.0022985, 21.4367776 42.002213, 21.4369057 42.0023221, 21.4367734 42.0024079, 21.4368897 42.0025069, 21.4367461 42.0026001, 21.4366296 42.002501, 21.4364947 42.0025885, 21.4363752 42.0024867, 21.4362416 42.0025734, 21.436116 42.0024664, 21.4359887 42.002549, 21.4360562 42.0026065, 21.4359258 42.0026911, 21.4360449 42.0027925, 21.4359153 42.0028765, 21.4360256 42.0029704, 21.4359525 42.0030178, 21.4360157 42.0030716, 21.4360334 42.0030724, 21.4360346 42.0030574, 21.4363187 42.0030699, 21.4363088 42.003194))"
Магаза,museum,Magaza gallery,"POLYGON ((21.3350427 41.0299956, 21.3351085 41.0298443, 21.3352067 41.0298686, 21.335141 41.0300199, 21.3350427 41.0299956))"
Спомен Костурница,museum,Kosturnica Memorial,"POLYGON ((21.7892333 41.7232436, 21.7892816 41.7232756, 21.789303 41.7232661, 21.7893164 41.7232536, 21.7892521 41.7231535, 21.7893379 41.7231235, 21.7894344 41.7231175, 21.7895069 41.7231435, 21.7895364 41.7231655, 21.7896091 41.7232376, 21.7897617 41.7233417, 21.7897214 41.7233857, 21.7896893 41.7234138, 21.7896383 41.7234158, 21.7895581 41.7234038, 21.7895337 41.7234318, 21.7894961 41.7234598, 21.789432 41.7234818, 21.7893542 41.7234838, 21.7892467 41.7234618, 21.7892738 41.7234298, 21.7892225 41.7233937, 21.7892121 41.7233097, 21.7892333 41.7232436))"
Музеј на македонската борба,museum,Museum of the Macedonian struggle,"POLYGON ((21.4329425 41.9982848, 21.4327371 41.9981391, 21.4333215 41.9976842, 21.4335269 41.9978299, 21.4332386 41.9980543, 21.4329425 41.9982848))"
Меморијален центар на холокаустот на Евреите од Македонија,museum,Holocaust Memorial Center for the Jews of Macedonia,"POLYGON ((21.4331205 41.9984101, 21.4332627 41.9982834, 21.433646 41.9985211, 21.4335037 41.9986478, 21.4331205 41.9984101))"
Музеј на Град Скопје,museum,Museum of the City of Skopje,"POLYGON ((21.4288883 41.9912181, 21.4287012 41.9909894, 21.4285987 41.9910357, 21.4285266 41.9909477, 21.4292717 41.9906108, 21.4294908 41.9908785, 21.4293057 41.9909621, 21.4293459 41.9910113, 21.4288883 41.9912181))"
Спомен куќа на Мајка Тереза,museum,Memorial House of Mother Teresa,"POLYGON ((21.4307694 41.9939282, 21.4307134 41.9937951, 21.4308694 41.9937589, 21.4308689 41.9937557, 21.4308695 41.9937525, 21.4308715 41.993747, 21.4308751 41.993742, 21.430879 41.993738, 21.4308849 41.9937347, 21.4308922 41.9937329, 21.4309002 41.9937327, 21.4309068 41.9937334, 21.4309124 41.9937351, 21.4309173 41.9937378, 21.4309213 41.9937409, 21.4309299 41.9937414, 21.4309395 41.9937423, 21.4309475 41.9937442, 21.4309553 41.9937471, 21.4309626 41.9937512, 21.4309682 41.9937561, 21.4309737 41.993763, 21.4309799 41.9937728, 21.4309848 41.9937832, 21.4309875 41.9937944, 21.4309851 41.9938053, 21.4309805 41.9938161, 21.4310047 41.9938735, 21.4307694 41.9939282))"
11 Октомври 1941,museum,October the 11th, 1941,"POLYGON ((21.5522424 41.34503, 21.5522697 41.3449946, 21.5523199 41.3449297, 21.5524766 41.344998, 21.5523991 41.3450983, 21.5522424 41.34503))"
Музеј на НОВ,museum,Museum of the People's Liberation Army,"POLYGON ((21.2457177 41.3757107, 21.2456327 41.3756658, 21.2456584 41.3756384, 21.245621 41.3756186, 21.2456356 41.3756031, 21.245603 41.3755859, 21.2456805 41.3755033, 21.2457059 41.3755167, 21.2457199 41.3755018, 21.2457595 41.3755227, 21.2457806 41.3755003, 21.2458705 41.3755478, 21.2457177 41.3757107))"
Македониум,museum,Makedonium,"POLYGON ((21.248402 41.3775293, 21.2483536 41.3775307, 21.2483072 41.3775216, 21.2482701 41.3775052, 21.2482386 41.3774806, 21.2482205 41.3774566, 21.2482083 41.3774218, 21.2482089 41.3773912, 21.248217 41.3773666, 21.2482347 41.3773402, 21.2482592 41.3773185, 21.2482985 41.377298, 21.2483414 41.3772873, 21.2483663 41.3772854, 21.2483977 41.3772868, 21.2484598 41.3773046, 21.2484866 41.3773206, 21.2485117 41.3773445, 21.2485286 41.3773732, 21.2485345 41.377395, 21.2485344 41.3774223, 21.248524 41.3774535, 21.2485063 41.3774784, 21.2484793 41.377501, 21.2484459 41.377518, 21.248402 41.3775293))"
Залив на Коските,museum,Bay of Bones,"POLYGON ((20.7979124 40.9946609, 20.7977193 40.9944949, 20.7978588 40.9944058, 20.7978668 40.9943693, 20.7979768 40.9942944, 20.7979446 40.994256, 20.7980519 40.9941748, 20.7982718 40.9940533, 20.7985508 40.9943023, 20.7984757 40.9943592, 20.7981705 40.9945096, 20.7981322 40.9945322, 20.7979768 40.9946143, 20.7979124 40.9946609))"
Музеј на Илинденското востание и Крушевската Република,museum,Museum of the Ilinden Uprising and the Republic of Krushevo,"POLYGON ((21.2452388 41.3691154, 21.2452626 41.3689796, 21.245368 41.36899, 21.2453442 41.3691258, 21.2452388 41.3691154))"
