name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
Природонаучен Музеј,,museum,,,Macedonian Museum of Natural History,,,POINT (21.4174425 42.005709)
Μνημείο Μάχης Σκρα ντι Λεγκέν (Α ΠΠ),,,monument,,World War I Monument of Skra-di-Legen Battle,Споменик на Битката кај Љумница,,POINT (22.6073053 41.0299308)
Паметник на Цар Самуил,,,monument,,,,,POINT (23.0302482 41.3948861)
,,,ruins,,,,,POINT (23.0289867 41.3947603)
Питу Гули,,,monument,,,,,POINT (21.433319 41.9936737)
Гоце Делчев,,,monument,,,,,POINT (21.4233737 42.0032812)
Влез на Скопското кале,,,city_gate,,Skopje Fortress Gate,,,POINT (21.4338778 42.0008716)
,,,,,,,,POINT (21.4695977 42.1095364)
Тетовско Кале,,,ruins,,Tetovo Fortress,,,POINT (20.960153 42.0195738)
Костурница,,attraction,monument,,Kosturnica,,,POINT (22.0228463 41.4325212)
,,,monument,,,,,POINT (22.0195297 41.4336787)
Библиотека Феткин,library,,,,Fetkin Library,,,POINT (22.0124363 41.4340077)
,,,ruins,,,,,POINT (20.7912433 41.1151632)
Лихнид,,,archaeological_site,,,,,POINT (20.7914836 41.1155576)
Мечкин Камен,,attraction,monument,,Mechkin Kamen,,,POINT (21.257898 41.3377228)
Слива,,,monument,,,,,POINT (21.2273776 41.3880768)
,,,monument,,,,,POINT (21.6904592 41.5113691)
Споменик на слободата,,attraction,monument,,Monument of Freedom,,,POINT (22.4069917 41.9188903)
,,,,,,,,POINT (21.4178843 41.9947928)
Gradska Biblioteka,library,,,,,,,POINT (22.3361557 42.2055718)
WWII Battle - 17th Macedonian Brigade ws Bulgarian army,,,monument,,,2ра Светска војна - Битка помеѓу 17та Македонска Ударна Бригада и Бугарската војска,,POINT (22.3507979 42.2916094)
Музеј на град Берово,,museum,,,Berovo Town Museum,,,POINT (22.8566138 41.7077548)
Споменик на Револуцијата,,,monument,,Monument of the Revolution,,,POINT (20.679835 41.1776616)
Музеј Галерија Кавадарци,,museum,,,Muzej Galerija Kavadarci,,,POINT (22.0163228 41.4343634)
Куќа на Робевци,,museum,,,Robev Family House,,,POINT (20.7961416 41.112361)
,,,,,,,,POINT (21.4367753 42.0030971)
Споменик на Александар Македонски,,artwork,monument,,Statue of Alexander the Great,,,POINT (21.4314474 41.9959035)
Gursel e Bajram Sylejmani,,,monument,,,,,POINT (21.2953473 42.3238799)
Palim borcima NOB-a,,,monument,,,,,POINT (21.6478225 42.3101126)
,,,memorial,,,,,POINT (21.6554487 42.3042697)
,,,monument,,,,,POINT (21.7512744 42.3558684)
Bardhyl Osmani,,,memorial,,,,,POINT (21.6438608 42.3302747)
Museum Teracotta,,museum,,,,,,POINT (22.5049622 41.8841902)
City Library,library,,,,,,,POINT (22.5047369 41.8840704)
5,,,boundary_stone,,,,,POINT (22.9650942 41.363211)
Lukov,,,memorial,,,,,POINT (20.5620379 41.6346281)
Rimska crkva,,,archaeological_site,,,,,POINT (21.3527926 42.0586697)
Св. Атанас,place_of_worship,,,,,,christian,POINT (21.2983618 42.0598924)
Давина Кула,,,archaeological_site,,Davina Kula,,,POINT (21.3548716 42.0843452)
Голема Кула - Кучково,,,archaeological_site,,,,,POINT (21.2786993 42.0587494)
Мала Кула - Кучково,,,archaeological_site,,,,,POINT (21.2844339 42.0585741)
,,,ruins,,,,,POINT (21.7247365 40.8937379)
,,,ruins,,,,,POINT (21.7253458 40.8940485)
Ξενοδοχείο Αύρα,,,ruins,,Hotel,Хотел „Авра“,,POINT (21.914333 40.9706639)
,,,boundary_stone,,,,,POINT (22.3600562 42.313074)
,,,boundary_stone,,,,,POINT (22.3659246 42.3240027)
4,,,boundary_stone,,,,,POINT (22.9655541 41.3534717)
6,,,boundary_stone,,,,,POINT (22.964952 41.3649798)
7,,,boundary_stone,,,,,POINT (22.9645721 41.3667003)
8,,,boundary_stone,,,,,POINT (22.9643552 41.3682443)
9,,,boundary_stone,,,,,POINT (22.9640182 41.3692174)
10,,,boundary_stone,,,,,POINT (22.9637614 41.3704535)
11,,,boundary_stone,,,,,POINT (22.963565 41.371345)
12,,,boundary_stone,,,,,POINT (22.9631755 41.3721284)
13,,,boundary_stone,,,,,POINT (22.9630541 41.3728977)
14,,,boundary_stone,,,,,POINT (22.9628253 41.3739433)
15,,,boundary_stone,,,,,POINT (22.9632889 41.3755256)
16,,,boundary_stone,,,,,POINT (22.9621967 41.3786524)
19,,,boundary_stone,,,,,POINT (22.9628726 41.3839589)
20,,,boundary_stone,,,,,POINT (22.9631941 41.3859009)
21,,,boundary_stone,,,,,POINT (22.9642834 41.3891975)
22,,,boundary_stone,,,,,POINT (22.9667134 41.3931081)
25,,,boundary_stone,,,,,POINT (22.966126 41.3964028)
27,,,boundary_stone,,,,,POINT (22.9615881 41.4070803)
28,,,boundary_stone,,,,,POINT (22.9520216 41.4174975)
30,,,boundary_stone,,,,,POINT (22.9746504 41.4400834)
Куцолиница / 86,,,boundary_stone,,,,,POINT (22.5899869 42.1102442)
87,,,boundary_stone,,,,,POINT (22.5770819 42.1119645)
90,,,boundary_stone,,,,,POINT (22.5104573 42.1551091)
Китка,,,boundary_stone,,,,,POINT (22.3705411 42.3089612)
Крепост Хисарлъка,,,castle,,,,,POINT (22.6915349 42.2747267)
,,,memorial,,,,,POINT (21.3931473 40.8561982)
Руен,,,boundary_stone,,Ruen,Руен,,POINT (22.5162744 42.1580093)
Zena,,,monument,,,Жена,,POINT (21.7200501 42.1355189)
,,,memorial,,,,,POINT (22.8744791 40.9947481)
Στρατιωτικό Μουσείο Κιλκίς,,museum,,,Military Museum of Kilkis,,,POINT (22.8520946 40.9778576)
Ηρώο Κιλκίς,,,memorial,,,,,POINT (22.8522922 40.9773399)
